Company,Last valuation (US$ billions),Valuation date,Exit date,Exit reason,Exit valuation (US$ billions),Country,Founders
Zynga ,9.1,February 2011 ,December 2011[670] ,IPO ,7,United States ,"Mark Pincus, Eric Schiermeyer, Justin Waldron, Michael Luxton, Steve Schoettler, and Andrew Trader "
Coupang ,9,November 2018[671] ,March 2021[672] ,IPO ,58,South Korea ,Bom Kim 
Spotify ,8.53,March 2016[5] ,April 2018[673] ,Direct listing ,30,Sweden ,"Daniel Ek, Martin Lorentzon "
Skype ,8.5,May 2011 ,September 2015[674] ,Acquired ,2.6,Sweden ,Niklas Zennström and Janus Friis 
Wolt ,8.1,November 2021[675] ,September 2021[676] ,Acquired ,8.1,Finland ,"Miki Kuusi, Elias Aalto, Mika Matikainen, Oskari Pétas, Lauri Andler, Juhani Mykkänen "
Toast ,8,November 2020[677] ,September 2021[678] ,IPO ,20,United States ,
Twitter ,8,September 2011 ,November 2013[679] ,IPO ,14.2,United States ,"Jack Dorsey, Noah Glass, Biz Stone, Evan Williams "
Coinbase ,8,October 2018[680] ,April 2021[681] ,IPO ,65,United States ,"Brian Armstrong, Fred Ehrsam "
Argo AI ,7.25,July 2020[682] ,October 2022[683] ,Defunct ,,United States ,Bryan Salesky and Peter Rander 
Tokopedia ,7,December 2018[684] ,May 2021[669] ,Merger to GoTo ,7.5,Indonesia ,"William Tanuwijaya, Leontinus Alpha Edison "
Deliveroo ,7,January 2021[685] ,March 2021[686][687] ,IPO ,10.5,United Kingdom ,"Will Shu, Greg Orlowski "
Roivant Sciences ,7,November 2018[688] ,September 2021[689] ,SPAC merger ,7.3,Switzerland ,
Slack Technologies ,7,August 2018[690] ,,IPO ,,United States ,"Stewart Butterfield, Cal Henderson "
WeWork ,7,November 2019[691] ,October 2021[692] ,SPAC merger ,9,United States ,"Adam Newmann, Miguel McKelvey "
"Compass, Inc. ",6.4,July 2019[693][694] ,April 2021 ,IPO ,7,United States ,
Gitlab ,6,January 2021[695] ,October 2021[696] ,IPO ,17,Ukraine[697] ,"Dmytro Zaporozhets; Sytse ""Sid"" Sijbrandij "
Square ,6,October 2014 ,November 2015[698] ,IPO ,3.6,United States ,"Jack Dorsey, Jim McKelvey "
SoFi ,6,May 2020 ,May 2021[699] ,SPAC merger ,8.65,United States ,
Zomato ,5.4,February 2021[700] ,July 2021 ,IPO ,8.7,India ,Deepinder Goyal 
Samsara ,5.4,May 2020[701] ,December 2021[702] ,IPO ,11.6,United States ,"Sanjit Biswas, John Bicket "
Stemcentrx ,5,September 2015 ,April 2016[703] ,Acquired ,5.8,United States ,
dLocal ,5,April 2021[704] ,June 2021[705] ,IPO ,6.1,Uruguay ,
Groupon ,4.75,December 2010[706] ,November 2011[707] ,IPO ,13,United States ,"Eric Lefkofsky, Brad Keywell, Andrew Mason "
Krafton ,5,August 2021[708] ,August 2021 ,IPO ,25,South Korea ,
Confluent ,4.5,April 2020[709] ,June 2021[710] ,IPO ,9,United States ,"Jay Kreps, Neha Narkhede, Jun Rao "
Ucar ,4.4,March 2017 ,July 2016[711] ,IPO ,5.5,China ,
Zalando ,4.03,November 2013 ,October 2014[712][713] ,IPO ,6.7,Germany ,
Amplitude ,4,June 2021[714] ,September 2021[715] ,IPO ,5,United States ,
Peloton ,4,August 2018[716] ,September 2019 ,IPO ,8.1,United States ,
Credit Karma ,4,March 2018[717] ,December 2020 ,Acquired ,8.1,United States ,
Ginkgo Bioworks ,4,September 2019[718] ,September 2021[719] ,SPAC merger ,2.5,United States ,
Lending Club ,3.8,August 2014 ,December 2014[720] ,IPO ,8.5,United States ,Renaud Laplanche 
Sea Limited ,3.7,March 2016 ,October 2017[721] ,IPO ,5.3,Singapore ,
Freshworks ,3.5,November 2019 ,September 2021[722] ,IPO ,10.13,India / United States ,"Girish Mathrubootham, Shan Krishnasamy "
Bukalapak ,3.5,April 2021[152] ,August 2021[723] ,IPO ,6,Indonesia ,"Achmad Zaky, Fajrin Rasyid, Nugroho Herucahyono "
Wise ,3.5,May 2019[724] ,July 2021[725] ,Direct listing ,11,United Kingdom ,
Zhihu ,3.5,August 2019[726] ,March 2021[727] ,IPO ,5.3,China ,
Atlassian ,3.3,April 2014 ,December 2015[728] ,IPO ,7.02,Australia ,
